price,bd&ba,sqft,address
"760,000","3bd,3ba","1,323","2680 17th St,, ,Sacramento, CA 95818"
"495,000","4bd,3ba","1,940 (on 0.25 acres)","7980 Sewell Ct,, ,Sacramento, CA 95828"
"459,900","3bd,2ba","1,456","5712 Raybel Ave,, ,Sacramento, CA 95841"
"659,999","4bd,2ba","2,126","4683 Windsong St,, ,Sacramento, CA 95834"
"635,000","4bd,3ba","2,011","4250 Pearl Wood Way,, ,Antelope, CA 95843"
"495,500","2bd,2ba","1,163","2257 Swarthmore Dr,, ,Sacramento, CA 95825"
"1,775,000","5bd,5ba","3,856 (on 0.75 acres)","3521 Arden Creek Rd,, ,Sacramento, CA 95864"
"550,000","3bd,2ba","1,697","9217 Heathfield Way,, ,Sacramento, CA 95829"
"199,500","2bd,1ba",924,"4702 Greenholme Dr #4,, ,Sacramento, CA 95842"
"480,000","3bd,3ba","1,709","1624 Bridgecreek Dr,, ,Sacramento, CA 95833"
"477,000","3bd,2ba","1,593","4 Deja Ct,, ,Sacramento, CA 95838"
"425,000","3bd,2ba","1,320","5336 Harrison St,, ,North Highlands, CA 95660"
"399,000","3bd,2ba","1,261","4129 Ernestine Way,, ,North Highlands, CA 95660"
"535,000","4bd,2ba","1,504","581 Summer Garden Way,, ,Sacramento, CA 95833"
"450,000","2bd,2ba",783,"3250 X St,, ,Sacramento, CA 95817"
"425,000","3bd,2ba","1,402","9820 Heartwood Way,, ,Sacramento, CA 95827"
"329,900","3bd,2ba","1,053","2123 Florin Rd,, ,Sacramento, CA 95822"
"628,000","5bd,3ba","2,347","8 Basin Ct,, ,Elk Grove, CA 95758"
"374,310+","2bd,2ba","1,362","Portisol at Artisan Square,, ,Sacramento, CA 95835"
"869,990+","3bd,4ba","1,989","L32,, ,Sacramento, CA 95816"
"469,900+","3bd,3ba","1,562","Wickford Square,, ,Sacramento, CA 95823"
"571,950+","3bd,3ba","1,900","Woodberry at Bradshaw Crossing,, ,Sacramento, CA 95829"
"558,990+","4bd,3ba","1,945","Antinori at Vineyard Creek,, ,Sacramento, CA 95829"
"515,990+","3bd,3ba","1,454","Antinori at Vineyard Creek,, ,Sacramento, CA 95829"
"699,990+","2bd,3ba","1,618","Icon @ 14th & C,, ,Sacramento, CA 95814"
"499,950+","2bd,2ba","1,280","Woodberry at Bradshaw Crossing,, ,Sacramento, CA 95829"
"419,000","3bd,2ba","1,274","4033 Birchgrove Way,, ,Sacramento, CA 95826"
"399,000","3bd,2ba","1,344","8485 Sunnybrae Dr,, ,Sacramento, CA 95823"
"529,000","4bd,2ba","1,713","8928 Sonoma Valley Way,, ,Sacramento, CA 95829"
"489,990+","3bd,3ba","1,565","Citrine at Barrett Ranch,, ,Antelope, CA 95843"
"465,990+","3bd,3ba","1,408","Citrine at Barrett Ranch,, ,Antelope, CA 95843"
"759,990+","3bd,4ba","1,704","Icon @ 14th & C,, ,Sacramento, CA 95814"
"504,990+","3bd,3ba","1,892","Citrine at Barrett Ranch,, ,Antelope, CA 95843"
"500,990+","3bd,3ba","1,535","Glendon Vineyards,, ,Sacramento, CA 95829"
"375,000",,217 Silver Eagle Rd,"217 Silver Eagle Rd,, ,Sacramento, CA 95838"
"383,990+","3bd,3ba","1,492","Mystique,, ,Sacramento, CA 95835"
"899,990+","3bd,4ba","2,044","L32,, ,Sacramento, CA 95816"
